estado,producto,count,rank
AGUASCALIENTES,FUD,12005,1
AGUASCALIENTES,DETERGENTE P/ROPA,10188,2
AGUASCALIENTES,LECHE ULTRAPASTEURIZADA,9824,3
AGUASCALIENTES,SHAMPOO,9654,4
AGUASCALIENTES,REFRESCO,9481,5
AGUASCALIENTES,DESODORANTE,8859,6
AGUASCALIENTES,JABON DE TOCADOR,8517,7
AGUASCALIENTES,CHILES EN LATA,7946,8
AGUASCALIENTES,YOGHURT,7401,9
AGUASCALIENTES,MAYONESA,7173,10
BAJA CALIFORNIA,REFRESCO,37243,1
BAJA CALIFORNIA,DETERGENTE P/ROPA,23395,2
BAJA CALIFORNIA,FUD,19967,3
BAJA CALIFORNIA,SHAMPOO,19123,4
BAJA CALIFORNIA,JABON DE TOCADOR,18348,5
BAJA CALIFORNIA,CHILES EN LATA,16676,6
BAJA CALIFORNIA,GALLETAS,15873,7
BAJA CALIFORNIA,PANTALLAS,15703,8
BAJA CALIFORNIA,CEREALES,15398,9
BAJA CALIFORNIA,DESODORANTE,14748,10
BAJA CALIFORNIA SUR,REFRESCO,27770,1
BAJA CALIFORNIA SUR,FUD,17776,2
BAJA CALIFORNIA SUR,PANTALLAS,17383,3
BAJA CALIFORNIA SUR,DETERGENTE P/ROPA,15510,4
BAJA CALIFORNIA SUR,LAVADORAS,13242,5
BAJA CALIFORNIA SUR,SHAMPOO,12844,6
BAJA CALIFORNIA SUR,JABON DE TOCADOR,12799,7
BAJA CALIFORNIA SUR,CHILES EN LATA,11537,8
BAJA CALIFORNIA SUR,PLANCHAS,11301,9
BAJA CALIFORNIA SUR,COMPONENTES DE AUDIO,11036,10
CAMPECHE,FUD,12960,1
CAMPECHE,REFRESCO,11333,2
CAMPECHE,PANTALLAS,10449,3
CAMPECHE,LAVADORAS,9729,4
CAMPECHE,DETERGENTE P/ROPA,8307,5
CAMPECHE,LECHE ULTRAPASTEURIZADA,8027,6
CAMPECHE,REFRIGERADORES,7572,7
CAMPECHE,SHAMPOO,7560,8
CAMPECHE,JABON DE TOCADOR,7543,9
CAMPECHE,PLANCHAS,7139,10
CHIAPAS,REFRESCO,14452,1
CHIAPAS,FUD,10417,2
CHIAPAS,DETERGENTE P/ROPA,8831,3
CHIAPAS,PANTALLAS,8395,4
CHIAPAS,JABON DE TOCADOR,7841,5
CHIAPAS,CHILES EN LATA,7707,6
CHIAPAS,SHAMPOO,7601,7
CHIAPAS,LECHE ULTRAPASTEURIZADA,7278,8
CHIAPAS,DESODORANTE,7038,9
CHIAPAS,CERVEZA,6980,10
CHIHUAHUA,DETERGENTE P/ROPA,15982,1
CHIHUAHUA,FUD,14348,2
CHIHUAHUA,CHILES EN LATA,14189,3
CHIHUAHUA,SHAMPOO,14179,4
CHIHUAHUA,JABON DE TOCADOR,13744,5
CHIHUAHUA,REFRESCO,13554,6
CHIHUAHUA,PANTALLAS,13064,7
CHIHUAHUA,MAYONESA,12237,8
CHIHUAHUA,DESODORANTE,11741,9
CHIHUAHUA,LAVADORAS,11479,10
COAHUILA DE ZARAGOZA,FUD,28876,1
COAHUILA DE ZARAGOZA,REFRESCO,27164,2
COAHUILA DE ZARAGOZA,DETERGENTE P/ROPA,26706,3
COAHUILA DE ZARAGOZA,SHAMPOO,21401,4
COAHUILA DE ZARAGOZA,LECHE ULTRAPASTEURIZADA,21047,5
COAHUILA DE ZARAGOZA,JABON DE TOCADOR,20283,6
COAHUILA DE ZARAGOZA,PANTALLAS,20216,7
COAHUILA DE ZARAGOZA,LAVADORAS,19801,8
COAHUILA DE ZARAGOZA,CHILES EN LATA,19759,9
COAHUILA DE ZARAGOZA,MAYONESA,19026,10
COLIMA,DETERGENTE P/ROPA,17193,1
COLIMA,LECHE ULTRAPASTEURIZADA,14425,2
COLIMA,REFRESCO,14383,3
COLIMA,FUD,13757,4
COLIMA,JABON DE TOCADOR,13298,5
COLIMA,LAVADORAS,13235,6
COLIMA,COMPONENTES DE AUDIO,13154,7
COLIMA,PANTALLAS,13092,8
COLIMA,CHILES EN LATA,12819,9
COLIMA,SHAMPOO,12678,10
DISTRITO FEDERAL,REFRESCO,287463,1
DISTRITO FEDERAL,FUD,207569,2
DISTRITO FEDERAL,LECHE ULTRAPASTEURIZADA,175640,3
DISTRITO FEDERAL,DETERGENTE P/ROPA,173452,4
DISTRITO FEDERAL,YOGHURT,136720,5
DISTRITO FEDERAL,CERVEZA,136686,6
DISTRITO FEDERAL,MAYONESA,131103,7
DISTRITO FEDERAL,CHILES EN LATA,130598,8
DISTRITO FEDERAL,JABON DE TOCADOR,129889,9
DISTRITO FEDERAL,SHAMPOO,125603,10
DURANGO,DETERGENTE P/ROPA,9696,1
DURANGO,LAVADORAS,9644,2
DURANGO,FUD,8866,3
DURANGO,REFRESCO,8579,4
DURANGO,PANTALLAS,8329,5
DURANGO,SHAMPOO,8074,6
DURANGO,COMPONENTES DE AUDIO,7876,7
DURANGO,JABON DE TOCADOR,7778,8
DURANGO,PLANCHAS,7732,9
DURANGO,CHILES EN LATA,7425,10
GUANAJUATO,REFRESCO,49441,1
GUANAJUATO,DETERGENTE P/ROPA,36618,2
GUANAJUATO,VARIOS,35278,3
GUANAJUATO,FUD,33363,4
GUANAJUATO,LECHE ULTRAPASTEURIZADA,32633,5
GUANAJUATO,LAVADORAS,31037,6
GUANAJUATO,CHILES EN LATA,27190,7
GUANAJUATO,JABON DE TOCADOR,26788,8
GUANAJUATO,SHAMPOO,26772,9
GUANAJUATO,MAYONESA,25205,10
GUERRERO,REFRESCO,8932,1
GUERRERO,FUD,8846,2
GUERRERO,DETERGENTE P/ROPA,6455,3
GUERRERO,SHAMPOO,6283,4
